data_time,year,product_category,district,inspection_result,shop_name,original_location,failure_reasons,updated_at
2026-05-03T00:48:46.175674+08:00,2022,豆菜類,信義,不符合規定,唯椿企業股份有限公司(miacucina信義店),唯椿企業股份有限公司(miacucina信義店)/臺北市信義區松壽路11號2樓,"[""殺菌劑Flusilazole護矽得0.07ppm（標準：不得檢出）""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,大漿果類,信義,不符合規定,遠百企業股份有限公司忠孝分公司(愛買忠孝店),遠百企業股份有限公司忠孝分公司(愛買忠孝店)/臺北市信義區忠孝東路5段297號地下1、2、3樓,"[""殺蟲劑Cyromazine賽滅淨0.26ppm（標準：不得檢出）""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,小葉菜類,松山,不符合規定,兄弟大飯店股份有限公司,兄弟大飯店股份有限公司/臺北市松山區南京東路3段255號,"[""殺蟲劑Fipronil 芬普尼0.004ppm、 芬普尼代謝物Fipronil-sulfone 0."", ""殺蟲劑Pyriproxyfen 百利普芬0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,梨果類,中山,不符合規定,長鑫水果行,"長鑫水果行/承銷號1165/臺北市中山區
民族東路336號（6-13）","[""生長調節劑2,6-DIPN 0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,小葉菜類,中山,不符合規定,吳哲維,吳哲維/濱江果菜市場18-07攤/臺北市中山區民族東路336號,"[""殺菌劑Boscalid 白克列0."", ""殺菌劑Fluxapyroxad 氟克殺0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,其他豆製品-豆干,中山,不符合規定,俊華豆腐店,俊華豆腐店/臺北市中山區安東街5之6號,"[""防腐劑苯甲酸：0.74 g/kg""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,其他豆製品-干絲,南山,不符合規定,佳家用品(成德市場第144攤),佳家用品(成德市場第144攤)/臺北市南港區同德路100號,"[""殺菌劑過氧化氫：陽性""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,其他豆製品-干絲,松山,不符合規定,無市招豆干攤(曹O麗),無市招豆干攤(曹O麗)/臺北市松山區八德路3段106巷17號旁,"[""殺菌劑過氧化氫：陽性""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,其他豆製品-干絲,文山,不符合規定,阿貞豆腐店(木柵市場第54攤),阿貞豆腐店(木柵市場第54攤)/臺北市文山區保儀路13巷3號,"[""殺菌劑過氧化氫：陽性""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,其他豆製品-干絲,南港,不符合規定,環南市場調理加工食品類第58號攤,環南市場調理加工食品類第58號攤/臺北市萬華區環河南路2段245號,"[""殺菌劑過氧化氫：陽性"", ""防腐劑苯甲酸：1.81 g/kg""]",2026-05-03T00:48:46.175674+08:00
